0,Abandon normal instruments
1,Accept advice
2,Accretion
3,A line has two sides
4,Allow an easement (an easement is the abandonment of a stricture)
5,Are there sections? Consider transitions
6,Ask people to work against their better judgement
7,Ask your body
8,Assemble some of the instruments in a group and treat the group
9,Balance the consistency principle with the inconsistency principle
10,Be dirty
11,Breathe more deeply
12,Bridges -build -burn
13,Cascades
14,Change instrument roles
15,Change nothing and continue with immaculate consistency
16,Children's voices -speaking -singing
17,Cluster analysis
18,Consider different fading systems
19,Consult other sources -promising -unpromising
20,Convert a melodic element into a rhythmic element
21,Courage!
22,Cut a vital connection
23,"Decorate, decorate"
24,Define an area as 'safe' and use it as an anchor
25,Destroy -nothing -the most important thing
26,Discard an axiom
27,Disconnect from desire
28,Discover the recipes you are using and abandon them
29,Distorting time
30,Do nothing for as long as possible
31,Don't be afraid of things because they're easy to do
32,Don't be frightened of cliches
33,Don't be frightened to display your talents
34,Don't break the silence
35,Don't stress one thing more than another
36,Do something boring
37,Do the washing up
38,Do the words need changing?
39,Do we need holes?
40,Emphasize differences
41,Emphasize repetitions
42,Emphasize the flaws
43,"Faced with a choice, do both (given by Dieter Rot)"
44,Feedback recordings into an acoustic situation
45,Fill every beat with something
46,Get your neck massaged
47,Ghost echoes
48,Give the game away
49,Give way to your worst impulse
50,Go slowly all the way round the outside
51,Honor thy error as a hidden intention
52,How would you have done it?
53,Humanize something free of error
54,Imagine the music as a moving chain or caterpillar
55,Imagine the music as a set of disconnected events
56,Infinitesimal gradations
57,Intentions -credibility of -nobility of -humility of
58,Into the impossible
59,Is it finished?
60,Is there something missing?
61,Is the tuning appropriate?
62,Just carry on
63,"Left channel, right channel, centre channel"
64,"Listen in total darkness, or in a very large room, very quietly"
65,Listen to the quiet voice
66,"Look at a very small object, look at its centre"
67,Look at the order in which you do things
68,Look closely at the most embarrassing details and amplify them
69,Lowest common denominator check -single beat -single note -single riff
70,Make a blank valuable by putting it in an exquisite frame
71,Make an exhaustive list of everything you might do and do the last thing on the list
72,"Make a sudden, destructive unpredictable action; incorporate"
73,Mechanicalize something idiosyncratic
74,Mute and continue
75,Only one element of each kind
76,(Organic) machinery
77,Overtly resist change
78,Put in earplugs
79,Remember those quiet evenings
80,Remove ambiguities and convert to specifics
81,Remove specifics and convert to ambiguities
82,Repetition is a form of change
83,Reverse
84,Short circuit (example: a man eating peas with the idea that they will improve his virility shovels them straight into his lap)
85,Shut the door and listen from outside
86,Simple subtraction
87,Spectrum analysis
88,Take a break
89,Take away the elements in order of apparent non-importance
90,Tape your mouth (given by Ritva Saarikko)
91,The inconsistency principle
92,The tape is now the music
93,Think of the radio
94,Tidy up
95,Trust in the you of now
96,Turn it upside down
97,Twist the spine
98,Use an old idea
99,Use an unacceptable color
100,Use fewer notes
101,Use filters
102,Use "unqualified" people
103,Water
104,What are you really thinking about just now? Incorporate
105,What is the reality of the situation?
106,What mistakes did you make last time?
107,What would your closest friend do?
108,What wouldn't you do?
109,Work at a different speed
110,You are an engineer
111,You can only make one dot at a time
112,You don't have to be ashamed of using your own ideas
113,[blank card]
